Main Tabs,Sub Tabs,Section,Feature,Phase,App Status,Test Status
Advisor,,Landing,Intro page with example prompts; 'Coming soon' or waitlist,Phase 1,Not Started,Pending
Advisor,,Governance,"Disclaimer (non‑advisory), privacy/PDPL note, citation policy",Phase 1,Not Started,Pending
Advisor,,Routing,Ask‑from‑dataset deep links route here with context stored,Phase 1,Not Started,Pending
Advisor,,Chat,Chat input; multiline; enter‑to‑send,Phase 2,Not Started,Pending
Advisor,,Citations,Answers include dataset citations with timestamps,Phase 2,Not Started,Pending
Advisor,,Charts,Inline simple charts (time‑series/bar) with PNG/CSV download,Phase 2,Not Started,Pending
Advisor,,Feedback,Thumbs up/down; copy answer; share link,Phase 2,Not Started,Pending
Advisor,,Context,Automatic context injection from current page (dataset/map/trade),Phase 3,Not Started,Pending
Advisor,,Inspector,'Show sources' and step summary to reduce hallucinations,Phase 3,Not Started,Pending
Advisor,,Export,Export conversation as PDF/CSV,Phase 3,Not Started,Pending
Advisor,,SQL/Code,Generate SQL for queryable datasets; export snippet,Phase 4,Not Started,Pending
Advisor,,Agentic Tasks,"Multi‑step tasks (e.g., build a compare table then email) with review gates",Phase 5,Not Started,Pending
Advisor,,Plugins,Hook into Business Builder/Price Comparison to prefill inputs,Phase 5,Not Started,Pending
Advisor,Agentic Tasks,Platform,Scheduled questions (weekly brief) with email delivery,Phase 5,Not Started,Pending
Advisor,Prompts,Library,"Curated prompt templates per role (policy, VC, SME)",Phase 2,Not Started,Pending
Advisor,Prompts,Pinned,Pin favorite prompts,Phase 3,Not Started,Pending
Advisor,Retrieval,Source Filters,Toggle which datasets/sources are allowed,Phase 3,Not Started,Pending
Advisor,Retrieval,Time Filter,Limit answers to specific periods,Phase 3,Not Started,Pending
Advisor,Reasoning,Show Work,'Explain calculation' step-by-step,Phase 3,Not Started,Pending
Advisor,Reasoning,Unit Safety,Unit detection and standardized conversions,Phase 3,Not Started,Pending
Advisor,Privacy,Redaction,Redact PII from answers/logs,Phase 2,Not Started,Pending
Advisor,Citations,Deep Links,Citation click jumps to dataset row/section,Phase 3,Not Started,Pending
Advisor,Shortcuts,From Map/Trade,Right-click → 'Ask AI about selection',Phase 3,Not Started,Pending
Advisor,Exports,Email Brief,Send summarized brief to email,Phase 4,Not Started,Pending
Advisor,Exports,Markdown/CSV,Export answers as Markdown/CSV,Phase 2,Not Started,Pending
Advisor,Controls,Temperature,Basic creativity slider,Phase 4,Not Started,Pending
Advisor,Safety,Number Checks,Highlight low-confidence numbers; underline with tooltip,Phase 3,Not Started,Pending
Advisor,Safety,Citation Gate,Block answers without at least one citation,Phase 2,Not Started,Pending
Advisor,Controls,Answer Length,Short/Medium/Verbose toggle,Phase 3,Not Started,Pending
Advisor,Controls,Tone,Neutral/Executive/Analytical tone presets,Phase 4,Not Started,Pending
Advisor,Prompts,Org Library,Org-wide saved prompts (admin curated),Phase 4,Not Started,Pending
Advisor,Prompts,Inline Variables,Prompt templates with {{variable}} inputs,Phase 3,Not Started,Pending
Advisor,Memory,Session Memory,Persist last 10 Qs per user (local),Phase 2,Not Started,Pending
Advisor,Reports,One‑Pager,Generate one‑pager PDF with charts & citations,Phase 4,Not Started,Pending
Advisor,APIs,Endpoint,POST /ai/ask with context payload (members),Phase 5,Not Started,Pending
Economy,Dashboards,Core Indicators,"Predefined dashboards: GDP, inflation, unemployment",Phase 1,Not Started,Pending
Economy,Visualization,Chart Builder,"Dynamic charts: line, bar, pie, area",Phase 1,Not Started,Pending
Economy,Viewing,Modes,"Multiple views: summary, detailed, historical, forecasts",Phase 1,Not Started,Pending
Economy,Filters,Dimensions,"Filters by sector, geography, and time period",Phase 1,Not Started,Pending
Economy,Data,Exports,"Download/export charts, tables, raw data",Phase 1,Not Started,Pending
Economy,AI,Insights,"AI-generated insights: trends, anomalies, forecasts",Phase 2,Not Started,Pending
Economy,Simulation,Scenarios,Scenario simulation tools for policy impact analysis,Phase 2,Not Started,Pending
Economy,Alerts,Macroeconomic Events,Alerts for major economic changes or data releases,Phase 2,Not Started,Pending
Economy,Collaboration,Annotations & Sharing,User annotations and sharing on charts,Phase 3,Not Started,Pending
Trade,Dashboards,Trade Flows,Pre-built dashboards by product and country,Phase 1,Not Started,Pending
Trade,Visualization,Comparatives,"Comparative charts: imports vs exports, YoY",Phase 1,Not Started,Pending
Trade,Maps,Partners,"Interactive trade maps (partners, volumes)",Phase 1,Not Started,Pending
Trade,Filters,Dimensions,"Filters by trade type, commodity, time frame",Phase 1,Not Started,Pending
Trade,Reports,Sectoral,Downloadable sectoral trade reports & analysis,Phase 1,Not Started,Pending
Trade,Alerts,Shifts & Policy,Automated alerts for trade shifts/policy changes,Phase 2,Not Started,Pending
Trade,Integrations,Customs,Integration with customs/trade databases,Phase 2,Not Started,Pending
Trade,Watchers,Custom Watchlists,User-customizable watcher lists for trade metrics,Phase 2,Not Started,Pending
Trade,Data,Exports,Export function for data and visualizations,Phase 1,Not Started,Pending
Market Entry,Planning,Blueprint,Business plan builder with sector checklists,Phase 2,Not Started,Pending
Market Entry,Scoring,Market Access,Automated market access scoring & risk indicators,Phase 2,Not Started,Pending
